# Force        
# CofR         : (0.0000000e+00 0.0000000e+00 0.0000000e+00)
#
# Time         	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
1               1.7491388e-04 -5.6477126e-07 -1.9764577e-04 1.7024008e-04 -1.8431986e-07 -1.9512085e-04 4.6737952e-06 -3.8045139e-07 -2.5249217e-06
2               2.0095491e+00 -2.5530003e-03 -1.6665041e+00 2.0062741e+00 -2.4756853e-03 -1.6655855e+00 3.2750728e-03 -7.7315068e-05 -9.1866154e-04
3               3.6941702e+00 -1.2241061e-01 -2.0775827e+00 3.6913117e+00 -1.2234650e-01 -2.0767425e+00 2.8585036e-03 -6.4105674e-05 -8.4029171e-04
4               3.6027852e+00 -1.3150235e-01 -1.3251349e+00 3.6002689e+00 -1.3144526e-01 -1.3243874e+00 2.5163243e-03 -5.7093573e-05 -7.4744666e-04
5               3.1474268e+00 -9.1922260e-02 -4.6126527e-01 3.1451512e+00 -9.1865195e-02 -4.6061393e-01 2.2756600e-03 -5.7065399e-05 -6.5133820e-04
6               2.7919231e+00 -4.2300645e-02 1.8276630e-01 2.7898126e+00 -4.2238701e-02 1.8333020e-01 2.1105485e-03 -6.1943610e-05 -5.6389687e-04
7               2.6066289e+00 -6.3894604e-03 5.8968863e-01 2.6046246e+00 -6.3267900e-03 5.9018273e-01 2.0043597e-03 -6.2670369e-05 -4.9410494e-04
8               2.5305734e+00 9.3582851e-03 8.5123545e-01 2.5286344e+00 9.4180890e-03 8.5167261e-01 1.9390048e-03 -5.9803821e-05 -4.3715788e-04
9               2.5046053e+00 1.1403576e-02 1.0435537e+00 2.5027039e+00 1.1460163e-02 1.0439434e+00 1.9013853e-03 -5.6586342e-05 -3.8972099e-04
10              2.4923215e+00 7.6476095e-03 1.2005035e+00 2.4904406e+00 7.6997513e-03 1.2008511e+00 1.8808895e-03 -5.2141762e-05 -3.4766126e-04
11              2.4831322e+00 3.2468759e-03 1.3374330e+00 2.4812625e+00 3.2945917e-03 1.3377406e+00 1.8696383e-03 -4.7715878e-05 -3.0755906e-04
12              2.4767910e+00 -6.6059444e-05 1.4533785e+00 2.4749261e+00 -2.3464158e-05 1.4536474e+00 1.8649152e-03 -4.2595286e-05 -2.6885382e-04
13              2.4729497e+00 -1.9596618e-03 1.5448602e+00 2.4710872e+00 -1.9230934e-03 1.5450931e+00 1.8624277e-03 -3.6568332e-05 -2.3286581e-04
14              2.4711845e+00 -2.1389473e-03 1.6103470e+00 2.4693206e+00 -2.1088827e-03 1.6105452e+00 1.8639309e-03 -3.0064558e-05 -1.9817197e-04
15              2.4707381e+00 -1.0803818e-03 1.6514341e+00 2.4688692e+00 -1.0562555e-03 1.6516010e+00 1.8688741e-03 -2.4126256e-05 -1.6688773e-04
16              2.4713851e+00 -1.9115727e-04 1.6718226e+00 2.4695087e+00 -1.7382889e-04 1.6719594e+00 1.8764545e-03 -1.7328381e-05 -1.3679341e-04
17              2.4735646e+00 -5.9789031e-04 1.6745615e+00 2.4716793e+00 -5.8697847e-04 1.6746706e+00 1.8852737e-03 -1.0911839e-05 -1.0902733e-04
18              2.4769150e+00 -3.4491522e-03 1.6612856e+00 2.4750196e+00 -3.4437658e-03 1.6613698e+00 1.8954338e-03 -5.3863761e-06 -8.4205994e-05
19              2.4806868e+00 -1.0482250e-02 1.6337646e+00 2.4787793e+00 -1.0482588e-02 1.6338271e+00 1.9074261e-03 3.3751872e-07 -6.2527298e-05
20              2.4846065e+00 -2.2726162e-02 1.5932896e+00 2.4826840e+00 -2.2731399e-02 1.5933336e+00 1.9225600e-03 5.2376114e-06 -4.3968959e-05
21              2.4888038e+00 -4.0713593e-02 1.5412692e+00 2.4868670e+00 -4.0722418e-02 1.5412968e+00 1.9368064e-03 8.8250413e-06 -2.7622323e-05
22              2.4925249e+00 -6.4144771e-02 1.4794716e+00 2.4905723e+00 -6.4156784e-02 1.4794861e+00 1.9525835e-03 1.2013577e-05 -1.4493275e-05
23              2.4955138e+00 -9.1587382e-02 1.4100701e+00 2.4935469e+00 -9.1601353e-02 1.4100740e+00 1.9669058e-03 1.3971214e-05 -3.8461740e-06
24              2.4998900e+00 -1.1982191e-01 1.3364692e+00 2.4979065e+00 -1.1983641e-01 1.3364648e+00 1.9834976e-03 1.4494216e-05 4.3806770e-06
25              2.5077461e+00 -1.4790677e-01 1.2608735e+00 2.5057476e+00 -1.4792214e-01 1.2608627e+00 1.9984607e-03 1.5373922e-05 1.0791592e-05
26              2.5209274e+00 -1.7488527e-01 1.1870813e+00 2.5189123e+00 -1.7489896e-01 1.1870659e+00 2.0150980e-03 1.3680707e-05 1.5459442e-05
27              2.5409666e+00 -2.0148723e-01 1.1171683e+00 2.5389373e+00 -2.0149922e-01 1.1171498e+00 2.0292649e-03 1.1989187e-05 1.8511224e-05
28              2.5667272e+00 -2.2768184e-01 1.0531708e+00 2.5646812e+00 -2.2769154e-01 1.0531507e+00 2.0459753e-03 9.6983060e-06 2.0083969e-05
29              2.5960525e+00 -2.5409258e-01 9.9567277e-01 2.5939934e+00 -2.5409967e-01 9.9565111e-01 2.0590480e-03 7.0935353e-06 2.1660497e-05
30              2.6264945e+00 -2.7959152e-01 9.4567714e-01 2.6244199e+00 -2.7959516e-01 9.4565443e-01 2.0745954e-03 3.6429826e-06 2.2708583e-05
31              2.6554575e+00 -3.0589358e-01 9.0388457e-01 2.6533702e+00 -3.0589349e-01 9.0386079e-01 2.0872830e-03 -8.6426151e-08 2.3783441e-05
32              2.6831777e+00 -3.3223533e-01 8.6980273e-01 2.6810767e+00 -3.3223070e-01 8.6977765e-01 2.1009958e-03 -4.6234845e-06 2.5083700e-05
33              2.7082631e+00 -3.5633825e-01 8.4256614e-01 2.7061503e+00 -3.5632914e-01 8.4253962e-01 2.1127942e-03 -9.1091871e-06 2.6527721e-05
34              2.7287900e+00 -3.7816823e-01 8.2024759e-01 2.7266656e+00 -3.7815465e-01 8.2021875e-01 2.1243832e-03 -1.3581684e-05 2.8847081e-05
35              2.7443769e+00 -3.9629780e-01 8.0217908e-01 2.7422445e+00 -3.9627925e-01 8.0214673e-01 2.1323590e-03 -1.8547461e-05 3.2355701e-05
36              2.7536810e+00 -4.1100053e-01 7.8812085e-01 2.7515381e+00 -4.1097821e-01 7.8808395e-01 2.1428445e-03 -2.2317688e-05 3.6903395e-05
37              2.7568389e+00 -4.2265071e-01 7.7811143e-01 2.7546888e+00 -4.2262493e-01 7.7806899e-01 2.1501592e-03 -2.5776236e-05 4.2437496e-05
38              2.7538030e+00 -4.3257649e-01 7.7255144e-01 2.7516480e+00 -4.3254739e-01 7.7250245e-01 2.1550300e-03 -2.9104068e-05 4.8995687e-05
39              2.7455571e+00 -4.4139270e-01 7.7191241e-01 2.7433982e+00 -4.4136100e-01 7.7185761e-01 2.1589053e-03 -3.1699574e-05 5.4803125e-05
40              2.7327202e+00 -4.5066422e-01 7.7569993e-01 2.7305576e+00 -4.5062964e-01 7.7563892e-01 2.1626346e-03 -3.4584044e-05 6.1005982e-05
41              2.7157925e+00 -4.6178411e-01 7.8323678e-01 2.7136274e+00 -4.6174730e-01 7.8316995e-01 2.1650877e-03 -3.6808779e-05 6.6830793e-05
42              2.6951796e+00 -4.7589370e-01 7.9405418e-01 2.6930119e+00 -4.7585365e-01 7.9398100e-01 2.1676442e-03 -4.0048051e-05 7.3180904e-05
43              2.6719015e+00 -4.9450336e-01 8.0787204e-01 2.6697320e+00 -4.9446022e-01 8.0779292e-01 2.1695442e-03 -4.3139164e-05 7.9114781e-05
44              2.6452639e+00 -5.1851206e-01 8.2409452e-01 2.6430932e+00 -5.1846507e-01 8.2400972e-01 2.1707188e-03 -4.6997351e-05 8.4793052e-05
45              2.6163011e+00 -5.4795470e-01 8.4218436e-01 2.6141285e+00 -5.4790386e-01 8.4209415e-01 2.1725822e-03 -5.0840017e-05 9.0212376e-05
46              2.5859403e+00 -5.8293504e-01 8.6163368e-01 2.5837662e+00 -5.8287922e-01 8.6153780e-01 2.1740743e-03 -5.5821481e-05 9.5883362e-05
47              2.5541668e+00 -6.2186413e-01 8.8172701e-01 2.5519915e+00 -6.2180252e-01 8.8162569e-01 2.1752852e-03 -6.1615515e-05 1.0132807e-04
48              2.5206941e+00 -6.6262509e-01 9.0192771e-01 2.5185185e+00 -6.6255668e-01 9.0182092e-01 2.1756011e-03 -6.8412658e-05 1.0679411e-04
49              2.4833479e+00 -7.0539467e-01 9.2288875e-01 2.4811716e+00 -7.0531911e-01 9.2277678e-01 2.1763241e-03 -7.5554697e-05 1.1197410e-04
50              2.4429323e+00 -7.4947475e-01 9.4364102e-01 2.4407572e+00 -7.4939125e-01 9.4352424e-01 2.1750713e-03 -8.3497518e-05 1.1678151e-04
