# Moment       
# CofR         : (0.0000000e+00 0.0000000e+00 0.0000000e+00)
#
# Time         	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
1               -5.6056170e-07 1.2865901e-05 -1.9417430e-06 -5.3290260e-07 1.2531271e-05 -1.9704496e-06 -2.7659090e-08 3.3462982e-07 2.8706641e-08
2               -3.8894303e-03 1.5918163e-01 -2.2248467e-02 -3.8675314e-03 1.5886621e-01 -2.2229412e-02 -2.1898958e-05 3.1542149e-04 -1.9055268e-05
3               3.7361201e-02 1.4663134e-01 -6.3702327e-02 3.7383616e-02 1.4635710e-01 -6.3686454e-02 -2.2415539e-05 2.7424493e-04 -1.5872750e-05
4               5.6447381e-02 2.7109683e-02 -7.1978959e-02 5.6473002e-02 2.6871039e-02 -7.1959733e-02 -2.5621411e-05 2.3864414e-04 -1.9226108e-05
5               6.2614204e-02 -6.6364757e-02 -6.7163331e-02 6.2643143e-02 -6.6576594e-02 -6.7138507e-02 -2.8938458e-05 2.1183757e-04 -2.4823383e-05
6               6.2058097e-02 -1.0768616e-01 -6.1327264e-02 6.2089761e-02 -1.0787898e-01 -6.1295554e-02 -3.1664061e-05 1.9281758e-04 -3.1710683e-05
7               5.9746544e-02 -1.1599081e-01 -5.8716378e-02 5.9779183e-02 -1.1617115e-01 -5.8681492e-02 -3.2638841e-05 1.8034149e-04 -3.4886334e-05
8               5.7941412e-02 -1.1480263e-01 -5.9108198e-02 5.7974803e-02 -1.1497453e-01 -5.9072056e-02 -3.3390740e-05 1.7189765e-04 -3.6141670e-05
9               5.7323733e-02 -1.1585180e-01 -6.0971521e-02 5.7357374e-02 -1.1601744e-01 -6.0934824e-02 -3.3640702e-05 1.6564409e-04 -3.6697634e-05
10              5.8002240e-02 -1.2145186e-01 -6.2146654e-02 5.8035571e-02 -1.2161237e-01 -6.2110536e-02 -3.3331824e-05 1.6050423e-04 -3.6118501e-05
11              5.9583724e-02 -1.3002863e-01 -6.1754295e-02 5.9616022e-02 -1.3018360e-01 -6.1718653e-02 -3.2297368e-05 1.5497050e-04 -3.5641565e-05
12              6.1583846e-02 -1.3916219e-01 -5.9782211e-02 6.1614980e-02 -1.3931143e-01 -5.9746761e-02 -3.1133600e-05 1.4924064e-04 -3.5449863e-05
13              6.3657904e-02 -1.4727151e-01 -5.6875290e-02 6.3687630e-02 -1.4741491e-01 -5.6841358e-02 -2.9725991e-05 1.4340012e-04 -3.3932110e-05
14              6.5700676e-02 -1.5358784e-01 -5.3553074e-02 6.5728908e-02 -1.5372517e-01 -5.3520084e-02 -2.8232328e-05 1.3732995e-04 -3.2989240e-05
15              6.7596876e-02 -1.5795263e-01 -5.0245484e-02 6.7623506e-02 -1.5808447e-01 -5.0213182e-02 -2.6630063e-05 1.3183929e-04 -3.2301886e-05
